"Pickup_DateTime","DropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Dispatching_base_number","Dispatching_base_num"
"2018-01-30 21:59:00","2018-01-30 22:20:53","5","227","","B02884",""
"2018-01-30 21:02:05","2018-01-30 21:09:12","225","37","1","B02884",""
"2018-01-30 21:54:50","2018-01-30 22:16:03","79","87","1","B02884",""
"2018-01-30 21:59:10","2018-01-30 22:14:32","114","87","1","B02884",""
"2018-01-30 21:07:15","2018-01-30 21:32:21","85","148","","B02884",""
"2018-01-30 21:42:20","2018-01-30 21:49:21","210","108","","B02889",""
"2018-01-30 21:01:19","2018-01-30 21:37:17","50","265","","B02889",""
"2018-01-30 21:57:57","2018-01-30 22:27:16","100","232","1","B02889",""
"2018-01-30 21:18:28","2018-01-30 21:37:14","225","181","","B02889",""
"2018-01-30 21:42:01","2018-01-30 21:49:26","181","181","","B02889",""
"2018-01-30 21:14:41","2018-01-30 21:43:32","97","39","1","B02889",""
"2018-01-30 21:51:02","2018-01-30 22:13:37","76","61","1","B02889",""
"2018-01-30 21:56:57","2018-01-30 22:02:51","35","61","1","B02889",""
"2018-01-30 21:13:15","2018-01-30 21:23:16","254","220","","B02889",""
"2018-01-30 21:49:29","2018-01-30 22:16:15","138","140","","B02889",""
"2018-01-30 21:42:58","2018-01-30 21:48:19","234","68","","B02889",""
"2018-01-30 21:11:45","2018-01-30 21:18:23","","","","B02914",""
"2018-01-30 21:21:36","2018-01-30 21:40:54","","","","B02914",""
"2018-01-30 21:49:36","2018-01-30 22:25:49","","","","B02914",""
"2018-01-30 21:53:52","2018-01-30 21:59:00","","","","B02914",""
"2018-01-30 21:12:58","2018-01-30 21:42:10","","","","B02914",""
"2018-01-30 21:53:27","2018-01-30 22:18:12","","","","B02914",""
"2018-01-30 21:08:47","2018-01-30 21:18:24","","","","B02914",""
"2018-01-30 21:04:04","2018-01-30 21:21:14","","","","B02914",""
"2018-01-30 21:25:17","2018-01-30 21:38:03","","","","B02914",""
"2018-01-30 21:02:04","2018-01-30 21:49:09","","","","B02914",""
"2018-01-30 21:58:00","2018-01-30 22:09:52","","","","B02914",""
"2018-01-30 21:39:23","2018-01-30 21:48:23","45","65","","B02884",""
"2018-01-30 21:09:00","2018-01-30 21:28:29","234","265","","B02884",""
"2018-01-30 21:24:15","2018-01-30 21:38:09","160","258","1","B02884",""
"2018-01-30 21:35:28","2018-01-30 21:49:19","258","196","1","B02884",""
"2018-01-30 21:29:35","2018-01-30 21:33:51","7","7","","B02884",""
"2018-01-30 21:12:17","2018-01-30 21:36:11","61","155","","B02884",""
"2018-01-30 21:40:52","2018-01-30 22:08:17","155","76","1","B02884",""
"2018-01-30 21:48:41","2018-01-30 22:00:00","39","177","1","B02884",""
"2018-01-30 21:20:54","2018-01-30 21:27:09","102","198","","B02884",""
"2018-01-30 21:39:36","2018-01-30 21:52:09","37","4","","B02884",""
"2018-01-30 21:08:48","2018-01-30 21:22:12","151","163","","B02884",""
"2018-01-30 21:44:34","2018-01-30 21:59:48","","","","B02914",""
"2018-01-30 21:55:55","2018-01-30 22:15:22","","","","B02914",""
"2018-01-30 21:08:57","2018-01-30 21:25:21","","","","B02914",""
"2018-01-30 21:31:51","2018-01-30 21:59:46","","","","B02914",""
"2018-01-30 21:55:46","2018-01-30 22:12:05","","","","B02914",""
"2018-01-30 21:11:57","2018-01-30 21:29:22","","","","B02914",""
"2018-01-30 21:56:58","2018-01-30 22:31:58","","","","B02914",""
"2018-01-30 21:06:08","2018-01-30 21:08:53","","","","B02914",""
"2018-01-30 21:25:29","2018-01-30 21:41:14","","","","B02914",""
"2018-01-30 21:57:21","2018-01-30 22:03:11","","","","B02914",""
"2018-01-30 21:15:26","2018-01-30 21:29:14","","","","B02914",""
"2018-01-30 21:28:26","2018-01-30 21:44:00","163","234","","B02884",""
"2018-01-30 21:51:50","2018-01-30 21:59:34","170","162","","B02884",""
"2018-01-30 21:40:09","2018-01-30 21:51:51","79","232","","B02884",""
"2018-01-30 21:49:44","2018-01-30 21:55:57","114","125","","B02884",""
"2018-01-30 21:57:59","2018-01-30 22:47:30","211","265","","B02884",""
"2018-01-30 21:32:55","2018-01-30 22:41:48","88","265","","B02884",""
"2018-01-30 21:47:38","2018-01-30 22:10:11","237","158","","B02884",""
"2018-01-30 21:31:55","2018-01-30 21:39:50","255","33","","B02884",""
"2018-01-30 21:43:06","2018-01-30 21:53:52","66","255","","B02884",""
"2018-01-30 21:07:57","2018-01-30 21:36:59","88","243","","B02884",""
"2018-01-30 21:20:19","2018-01-30 21:32:23","256","148","","B02884",""
"2018-01-30 21:38:28","2018-01-30 21:41:54","","","","B02914",""
"2018-01-30 21:41:53","2018-01-30 21:46:19","","","","B02914",""
"2018-01-30 21:24:35","2018-01-30 21:33:57","","","","B02914",""
"2018-01-30 21:38:31","2018-01-30 22:17:34","","","","B02914",""
"2018-01-30 21:02:19","2018-01-30 21:25:48","","","","B02914",""
"2018-01-30 21:47:54","2018-01-30 22:01:24","","","","B02914",""
"2018-01-30 21:14:44","2018-01-30 21:32:20","","","","B02914",""
"2018-01-30 21:18:02","2018-01-30 21:34:05","","","","B02914",""
"2018-01-30 21:06:48","2018-01-30 21:22:30","","","","B02914",""
"2018-01-30 21:37:13","2018-01-30 21:48:35","","","","B02914",""
"2018-01-30 21:48:30","2018-01-30 21:58:48","","","","B02914",""
"2018-01-30 21:55:27","2018-01-30 22:08:08","246","231","","B02889",""
"2018-01-30 21:18:43","2018-01-30 21:45:58","234","40","","B02889",""
"2018-01-30 21:56:56","2018-01-30 22:18:05","66","61","1","B02889",""
"2018-01-30 21:59:57","2018-01-30 22:06:44","66","97","1","B02889",""
"2018-01-30 21:23:42","2018-01-30 22:05:37","97","75","1","B02889",""
"2018-01-30 21:27:19","2018-01-30 21:38:41","97","148","1","B02889",""
"2018-01-30 21:44:36","2018-01-30 22:13:45","79","42","1","B02889",""
"2018-01-30 21:30:52","2018-01-30 21:40:33","79","211","","B02889",""
"2018-01-30 21:43:02","2018-01-30 21:58:41","125","229","","B02889",""
"2018-01-30 21:47:40","2018-01-30 22:17:29","138","11","","B02889",""
"2018-01-30 21:09:20","2018-01-30 21:18:25","164","79","","B02889",""
"2018-01-30 21:38:36","2018-01-30 21:55:31","79","255","","B02884",""
"2018-01-30 21:27:37","2018-01-30 21:59:35","48","25","1","B02884",""
"2018-01-30 21:32:31","2018-01-30 21:46:45","90","45","1","B02884",""
"2018-01-30 21:13:21","2018-01-30 21:52:46","140","76","","B02884",""
"2018-01-30 21:48:33","2018-01-30 22:31:28","246","265","","B02884",""
"2018-01-30 21:23:35","2018-01-30 21:27:50","188","61","","B02884",""
"2018-01-30 21:03:32","2018-01-30 21:08:50","50","163","","B02884",""
"2018-01-30 21:18:01","2018-01-30 21:33:04","230","249","","B02884",""
"2018-01-30 21:36:51","2018-01-30 21:57:47","158","238","","B02884",""
"2018-01-30 21:02:55","2018-01-30 21:11:46","71","61","","B02884",""
"2018-01-30 21:36:24","2018-01-30 21:53:53","49","145","","B02884",""
"2018-01-30 21:20:53","2018-01-30 21:42:37","","","","B02914",""
"2018-01-30 21:30:56","2018-01-30 21:40:24","","","","B02914",""
"2018-01-03 17:48:44","2018-01-03 17:50:21","","265","","B00937",""
"2018-01-03 17:12:56","2018-01-03 17:31:15","","265","","B00937",""
"2018-01-03 17:51:05","2018-01-03 18:13:08","","265","","B00937",""
"2018-01-03 17:09:29","2018-01-03 18:08:23","","265","","B00937",""
"2018-01-03 17:35:54","2018-01-03 18:18:20","","265","","B00937",""
"2018-01-03 17:49:06","2018-01-03 18:30:14","","265","","B00937",""
"2018-01-03 17:07:25","2018-01-03 17:21:49","","265","","B00937",""
"2018-01-03 17:40:44","2018-01-03 17:52:22","","265","","B00937",""
"2018-01-03 17:11:56","2018-01-03 17:15:40","","265","","B00937",""
"2018-01-03 17:31:15","2018-01-03 17:36:31","","265","","B00937",""
"2018-01-03 17:31:51","2018-01-03 17:36:28","","265","","B00937",""
"2018-01-03 17:42:36","2018-01-03 18:25:40","","265","","B00937",""
"2018-01-03 17:14:38","2018-01-03 17:15:54","","265","","B00937",""
"2018-01-03 17:23:29","2018-01-03 17:30:42","","265","","B00937",""
"2018-01-03 17:57:19","2018-01-03 17:59:01","","265","","B00937",""
"2018-01-03 17:27:58","2018-01-03 17:50:35","","265","","B00937",""
"2018-01-03 17:05:44","2018-01-03 17:14:21","","265","","B00937",""
"2018-01-03 17:07:35","2018-01-03 17:23:07","","265","","B00937",""
"2018-01-03 17:08:16","2018-01-03 17:31:40","","265","","B00937",""
"2018-01-03 17:22:11","2018-01-03 17:46:12","","265","","B00937",""
"2018-01-03 17:55:38","2018-01-03 18:08:22","","265","","B00937",""
"2018-01-03 17:57:34","2018-01-03 18:05:55","","265","","B00937",""
"2018-01-03 17:04:49","2018-01-03 17:14:30","","265","","B00937",""
"2018-01-03 17:39:08","2018-01-03 18:26:28","","265","","B00937",""
"2018-01-03 17:10:45","2018-01-03 17:14:40","","265","","B00937",""
"2018-01-03 17:28:16","2018-01-03 17:50:18","","265","","B00937",""
"2018-01-03 17:17:59","2018-01-03 17:43:14","","265","","B00937",""
"2018-01-03 17:03:32","2018-01-03 17:14:18","","265","","B00937",""
"2018-01-03 17:59:39","2018-01-03 18:00:42","","265","","B00937",""
"2018-01-03 17:43:17","2018-01-03 19:03:05","","265","","B00937",""
"2018-01-03 17:09:19","2018-01-03 17:20:49","","265","","B00900",""
"2018-01-03 17:34:12","2018-01-03 17:41:14","","265","","B00900",""
"2018-01-03 17:48:18","2018-01-03 17:56:51","","265","","B00900",""
"2018-01-03 17:02:36","2018-01-03 17:25:21","","265","","B00900",""
"2018-01-03 17:28:59","2018-01-03 17:47:55","","265","","B00900",""
"2018-01-03 17:28:38","2018-01-03 17:46:04","","265","","B00900",""
"2018-01-03 17:56:25","2018-01-03 18:08:48","","265","","B00900",""
"2018-01-03 17:13:29","2018-01-03 17:27:29","","265","","B00900",""
"2018-01-03 17:36:31","2018-01-03 17:41:49","","265","","B00900",""
"2018-01-03 17:57:43","2018-01-03 18:03:30","","265","","B00900",""
"2018-01-03 17:16:15","2018-01-03 17:39:24","","265","","B00900",""
"2018-01-03 17:08:19","2018-01-03 17:37:37","","265","","B00919",""
"2018-01-03 17:36:05","2018-01-03 17:36:16","","265","","B00919",""
"2018-01-03 17:02:57","2018-01-03 18:39:18","","265","","B00919",""
"2018-01-03 17:41:56","2018-01-03 18:04:28","","265","","B00919",""
"2018-01-03 17:09:34","2018-01-03 17:20:28","","265","","B00919",""
"2018-01-03 17:21:22","2018-01-03 17:31:41","","265","","B00919",""
"2018-01-03 17:43:57","2018-01-03 17:52:45","","265","","B00919",""
"2018-01-03 17:24:26","2018-01-03 17:31:32","","265","","B00919",""
"2018-01-03 17:23:08","2018-01-03 17:42:05","121","130","1","B02682",""
"2018-01-03 17:41:36","2018-01-03 17:54:06","130","197","1","B02682",""
"2018-01-03 17:50:04","2018-01-03 18:03:43","17","17","1","B02682",""
"2018-01-03 17:56:06","2018-01-03 18:20:07","17","255","1","B02682",""
"2018-01-03 17:14:30","2018-01-03 17:58:59","208","69","1","B02682",""
"2018-01-03 17:23:50","2018-01-03 17:37:03","182","167","1","B02682",""
"2018-01-03 17:30:34","2018-01-03 17:41:16","81","32","","B02728",""
"2018-01-03 17:56:48","2018-01-03 18:30:56","81","182","","B02728",""
"2018-01-03 17:01:08","2018-01-03 17:09:07","51","254","","B02728",""
"2018-01-03 17:31:02","2018-01-03 17:31:03","51","81","","B02728",""
"2018-01-03 17:57:54","2018-01-03 18:30:46","51","51","","B02728",""
"2018-01-03 17:40:07","2018-01-03 18:04:14","51","241","","B02728",""
"2018-01-03 17:19:55","2018-01-03 17:51:13","51","51","","B02728",""
"2018-01-03 17:35:40","2018-01-03 17:35:44","51","81","","B02728",""
"2018-01-03 17:39:02","2018-01-03 17:39:08","51","51","","B02728",""
"2018-01-03 17:19:23","2018-01-03 17:51:28","","265","","B02537",""
"2018-01-03 17:30:33","2018-01-03 17:43:49","","265","","B02537",""
"2018-01-03 17:04:57","2018-01-03 17:05:00","","265","","B02537",""
"2018-01-03 17:11:00","2018-01-03 17:33:00","97","225","","B02539",""
"2018-01-03 17:15:00","2018-01-03 17:46:00","123","39","","B02539",""
"2018-01-03 17:24:00","2018-01-03 18:00:22","","265","","B02546",""
"2018-01-03 17:36:00","2018-01-03 18:11:06","","265","","B02546",""
"2018-01-03 17:09:00","2018-01-03 17:20:36","","265","","B02546",""
"2018-01-03 17:29:00","2018-01-03 17:48:27","","265","","B02546",""
"2018-01-03 17:48:00","2018-01-03 18:04:56","","265","","B02546",""
"2018-01-03 17:24:00","2018-01-03 17:42:29","","265","","B02546",""
"2018-01-03 17:14:02","2018-01-03 17:45:45","259","259","","B02728",""
"2018-01-03 17:43:57","2018-01-03 17:55:00","51","51","","B02728",""
"2018-01-03 17:57:23","2018-01-03 18:11:56","51","254","","B02728",""
"2018-01-03 17:15:42","2018-01-03 17:23:00","81","259","","B02728",""
"2018-01-03 17:44:45","2018-01-03 17:54:02","265","51","","B02728",""
"2018-01-03 17:09:54","2018-01-03 17:13:52","3","51","","B02728",""
"2018-01-03 17:34:13","2018-01-03 18:07:00","81","265","","B02728",""
"2018-01-03 17:46:00","2018-01-03 17:58:00","","","","B02731",""
"2018-01-03 17:04:00","2018-01-03 17:19:00","","","","B02731",""
"2018-01-03 17:16:44","2018-01-03 17:40:37","48","265","","B02682",""
"2018-01-03 17:21:53","2018-01-03 17:26:36","221","221","","B02682",""
"2018-01-03 17:30:05","2018-01-03 18:45:20","221","265","","B02682",""
"2018-01-03 17:20:46","2018-01-03 17:32:30","142","239","","B02682",""
"2018-01-03 17:57:06","2018-01-03 18:30:01","163","211","","B02682",""
"2018-01-03 17:07:35","2018-01-03 17:44:25","97","188","1","B02682",""
"2018-01-03 17:59:21","2018-01-03 18:09:06","85","72","","B02682",""
"2018-01-03 17:56:52","2018-01-03 19:00:55","203","97","","B02682",""
"2018-01-03 17:01:11","2018-01-03 17:40:27","159","240","","B02682",""
"2018-01-03 17:11:31","2018-01-03 17:25:17","26","26","","B02682",""
"2018-01-03 17:32:29","2018-01-03 18:09:20","26","62","1","B02682",""
"2018-01-03 17:35:00","2018-01-03 17:46:00","","","","B02731",""
"2018-01-03 17:00:00","2018-01-03 17:43:00","75","134","","B02732",""
"2018-01-03 17:18:38","2018-01-03 17:51:02","","265","","B02735",""
"2018-01-03 17:30:41","2018-01-03 17:45:52","","265","","B02735",""
"2018-01-03 17:18:00","2018-01-03 18:34:00","","","","B02736",""
"2018-01-03 17:00:00","2018-01-03 17:35:00","","","","B02737",""
"2018-01-03 17:06:54","2018-01-03 17:13:40","","265","","B02738",""
"2018-01-03 17:56:58","2018-01-03 18:36:09","","265","","B02739",""
"2018-01-03 17:44:05","2018-01-03 18:01:14","","265","","B02747",""
"2018-01-03 17:56:05","2018-01-03 18:38:14","","265","","B02747",""
"2018-01-03 17:38:28","2018-01-03 18:37:04","","265","","B02747",""
"2018-01-03 17:16:32","2018-01-03 17:36:16","145","226","1","B02682",""
"2018-01-03 17:34:24","2018-01-03 17:51:08","181","65","","B02682",""
"2018-01-03 17:54:35","2018-01-03 18:19:10","97","61","1","B02682",""
"2018-01-03 17:56:56","2018-01-03 18:32:39","97","177","1","B02682",""
"2018-01-03 17:37:05","2018-01-03 17:51:13","97","181","","B02682",""
"2018-01-03 17:23:33","2018-01-03 17:43:16","17","80","1","B02682",""
"2018-01-03 17:25:51","2018-01-03 17:33:55","17","256","1","B02682",""
"2018-01-03 17:59:23","2018-01-03 19:08:48","37","265","","B02682",""
"2018-01-03 17:00:47","2018-01-03 17:11:44","140","162","","B02682",""
"2018-01-03 17:19:08","2018-01-03 17:42:45","162","48","","B02682",""
"2018-01-03 17:16:51","2018-01-03 18:31:39","214","172","","B02682",""
"2018-01-03 17:40:32","2018-01-03 18:30:29","","265","","B02747",""
"2018-01-03 17:39:38","2018-01-03 18:37:28","","265","","B02747",""
"2018-01-03 17:47:37","2018-01-03 18:57:50","","265","","B02747",""
"2018-01-03 17:07:22","2018-01-03 18:17:45","","265","","B02747",""
"2018-01-03 17:18:00","2018-01-03 17:56:00","","","","B02762",""
"2018-01-03 17:42:00","2018-01-03 18:20:00","","","","B02762",""
"2018-01-03 17:15:49","2018-01-03 17:41:44","261","68","","B02764",""
"2018-01-03 17:14:02","2018-01-03 18:02:42","141","265","","B02764",""
"2018-01-03 17:51:44","2018-01-03 17:59:04","127","127","","B02764",""
"2018-01-03 17:12:26","2018-01-03 17:23:01","151","41","","B02764",""
"2018-01-03 17:44:25","2018-01-03 17:58:10","140","145","","B02764",""
"2018-01-03 17:00:00","2018-01-03 17:10:59","","265","","B02546",""
"2018-01-03 17:07:00","2018-01-03 17:39:49","","265","","B02546",""
"2018-01-03 17:59:00","2018-01-03 18:17:39","","265","","B02546",""
"2018-01-03 17:16:00","2018-01-03 17:49:03","","265","","B02546",""
"2018-01-03 17:48:00","2018-01-03 18:05:30","","265","","B02546",""
"2018-01-03 17:35:00","2018-01-03 18:14:16","","265","","B02546",""
"2018-01-03 17:15:00","2018-01-03 17:41:44","","265","","B02546",""
"2018-01-03 17:50:00","2018-01-03 18:14:43","","265","","B02546",""
"2018-01-03 17:22:00","2018-01-03 17:43:22","","265","","B02546",""
"2018-01-03 17:11:00","2018-01-03 18:02:55","","265","","B02546",""
"2018-01-03 17:25:00","2018-01-03 17:46:14","","265","","B02546",""
"2018-01-03 17:07:40","2018-01-03 17:16:01","244","74","","B02764",""
"2018-01-03 17:25:45","2018-01-03 17:43:08","74","152","","B02764",""
"2018-01-03 17:01:58","2018-01-03 17:57:35","17","76","1","B02764",""
"2018-01-03 17:09:32","2018-01-03 17:34:22","37","66","","B02764",""
"2018-01-03 17:03:26","2018-01-03 17:16:41","101","101","","B02764",""
"2018-01-03 17:16:10","2018-01-03 17:24:11","234","234","","B02764",""
"2018-01-03 17:32:31","2018-01-03 17:49:31","234","231","","B02764",""
"2018-01-03 17:52:58","2018-01-03 17:58:34","125","158","","B02764",""
"2018-01-03 17:53:38","2018-01-03 17:56:27","237","43","","B02764",""
"2018-01-03 17:09:14","2018-01-03 17:23:38","113","68","","B02764",""
"2018-01-03 17:38:48","2018-01-03 17:46:45","246","48","","B02764",""
"2018-01-03 17:02:07","2018-01-03 17:22:49","106","54","","B02682",""
"2018-01-03 17:29:29","2018-01-03 17:40:05","33","40","","B02682",""
"2018-01-03 17:44:18","2018-01-03 18:08:52","10","197","","B02682",""
"2018-01-03 17:13:38","2018-01-03 17:37:41","228","228","","B02682",""
"2018-01-03 17:48:33","2018-01-03 18:23:50","181","255","","B02682",""
"2018-01-03 17:17:27","2018-01-03 18:00:43","26","72","","B02682",""
"2018-01-03 17:02:50","2018-01-03 17:24:21","61","35","","B02682",""
"2018-01-03 17:31:45","2018-01-03 17:49:36","35","61","","B02682",""
"2018-01-03 17:34:07","2018-01-03 18:03:58","41","235","1","B02682",""
"2018-01-03 17:46:26","2018-01-03 18:08:12","42","247","1","B02682",""
"2018-01-03 17:56:23","2018-01-03 18:08:07","119","247","1","B02682",""
"2018-01-03 17:46:00","2018-01-03 17:55:58","","265","","B02546",""
"2018-01-03 17:18:00","2018-01-03 17:47:18","","265","","B02546",""
"2018-01-03 17:51:00","2018-01-03 18:29:40","","265","","B02546",""
"2018-01-03 17:29:00","2018-01-03 18:13:09","","265","","B02546",""
"2018-01-03 17:25:00","2018-01-03 17:45:57","","265","","B02546",""
"2018-01-03 17:47:00","2018-01-03 18:14:51","","265","","B02546",""
"2018-01-03 17:51:00","2018-01-03 18:32:15","","265","","B02546",""
"2018-01-03 17:25:00","2018-01-03 17:55:17","","265","","B02546",""
"2018-01-03 17:54:00","2018-01-03 18:30:11","","265","","B02546",""
"2018-01-03 17:14:00","2018-01-03 17:59:01","","265","","B02546",""
"2018-01-03 17:01:00","2018-01-03 17:19:09","","265","","B02546",""
"2018-01-03 17:20:07","2018-01-03 17:33:51","148","13","","B02682",""
"2018-01-03 17:41:00","2018-01-03 17:49:05","261","231","","B02682",""
"2018-01-03 17:54:56","2018-01-03 18:08:28","231","90","","B02682",""
"2018-01-03 17:21:48","2018-01-03 18:45:23","132","265","","B02682",""
"2018-01-03 17:12:23","2018-01-03 17:24:02","239","43","","B02682",""
"2018-01-03 17:24:40","2018-01-03 17:37:42","43","236","","B02682",""
"2018-01-03 17:15:29","2018-01-03 17:21:50","161","164","","B02682",""
"2018-01-03 17:27:24","2018-01-03 17:51:03","100","232","","B02682",""
"2018-01-03 17:04:53","2018-01-03 17:19:59","165","149","","B02682",""
"2018-01-03 17:30:49","2018-01-03 17:51:16","149","71","","B02682",""
"2018-01-03 17:56:09","2018-01-03 18:31:47","91","39","1","B02682",""
"2018-01-03 17:57:07","2018-01-03 18:02:16","48","142","","B02764",""
"2018-01-03 17:09:48","2018-01-03 17:15:39","90","186","","B02764",""
"2018-01-03 17:18:21","2018-01-03 17:42:12","133","178","1","B02764",""
"2018-01-03 17:22:13","2018-01-03 17:57:53","26","149","1","B02764",""
"2018-01-03 17:52:04","2018-01-03 18:06:16","19","265","","B02764",""
"2018-01-03 17:22:40","2018-01-03 18:03:27","138","265","","B02764",""
"2018-01-03 17:53:29","2018-01-03 18:16:56","142","164","","B02764",""
"2018-01-03 17:03:03","2018-01-03 17:22:31","43","161","","B02764",""
