"Pickup_DateTime","DropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Dispatching_base_number","Dispatching_base_num"
"2018-01-30 21:06:50","2018-01-30 21:15:34","56","129","","B02884",""
"2018-01-30 21:20:36","2018-01-30 21:35:29","129","112","","B02884",""
"2018-01-30 21:04:45","2018-01-30 21:16:34","47","42","","B02884",""
"2018-01-30 21:11:51","2018-01-30 21:40:35","49","131","","B02884",""
"2018-01-30 21:43:39","2018-01-30 21:49:59","98","121","","B02884",""
"2018-01-30 21:36:53","2018-01-30 21:44:55","235","235","","B02884",""
"2018-01-30 21:48:30","2018-01-30 21:51:30","169","235","","B02884",""
"2018-01-30 21:55:18","2018-01-30 22:15:28","235","208","","B02884",""
"2018-01-30 21:21:25","2018-01-30 21:46:49","231","265","","B02884",""
"2018-01-30 21:24:37","2018-01-30 21:35:23","123","29","","B02884",""
"2018-01-30 21:39:49","2018-01-30 21:49:52","29","21","","B02884",""
"2018-01-30 21:50:14","2018-01-30 22:02:50","","","","B02914",""
"2018-01-30 21:20:57","2018-01-30 21:44:27","","","","B02914",""
"2018-01-30 21:47:00","2018-01-30 21:57:04","","","","B02914",""
"2018-01-30 21:16:15","2018-01-30 22:03:41","","","","B02914",""
"2018-01-30 21:54:23","2018-01-30 22:29:58","","","","B02914",""
"2018-01-30 21:29:31","2018-01-30 21:40:41","","","","B02914",""
"2018-01-30 21:50:34","2018-01-30 21:54:57","","","","B02914",""
"2018-01-30 21:58:51","2018-01-30 22:02:23","","","","B02914",""
"2018-01-30 21:06:32","2018-01-30 21:28:14","","","","B02914",""
"2018-01-30 21:12:39","2018-01-30 21:19:21","","","","B02914",""
"2018-01-30 21:51:46","2018-01-30 22:07:34","","","","B02914",""
"2018-01-30 21:47:48","2018-01-30 21:55:52","16","64","","B02889",""
"2018-01-30 21:04:39","2018-01-30 21:10:04","148","79","","B02889",""
"2018-01-30 21:14:30","2018-01-30 21:19:03","79","4","","B02889",""
"2018-01-30 21:22:02","2018-01-30 21:34:12","79","87","","B02889",""
"2018-01-30 21:34:45","2018-01-30 22:01:18","87","37","","B02889",""
"2018-01-30 21:10:06","2018-01-30 21:20:38","49","33","","B02889",""
"2018-01-30 21:54:15","2018-01-30 22:08:48","119","78","","B02889",""
"2018-01-30 21:58:10","2018-01-30 22:47:18","132","265","","B02889",""
"2018-01-30 21:07:20","2018-01-30 21:19:06","162","145","","B02889",""
"2018-01-30 21:33:11","2018-01-30 21:50:05","233","179","","B02889",""
"2018-01-30 21:10:51","2018-01-30 21:42:46","16","10","1","B02889",""
"2018-01-30 21:50:11","2018-01-30 21:55:17","","","","B02914",""
"2018-01-30 21:39:29","2018-01-30 21:43:33","","","","B02914",""
"2018-01-30 21:13:38","2018-01-30 21:28:51","","","","B02914",""
"2018-01-30 21:19:33","2018-01-30 21:37:48","","","","B02914",""
"2018-01-30 21:49:17","2018-01-30 21:57:54","","","","B02914",""
"2018-01-30 21:03:29","2018-01-30 21:31:20","","","","B02914",""
"2018-01-30 21:27:44","2018-01-30 21:50:12","","","","B02914",""
"2018-01-30 21:57:10","2018-01-30 22:02:02","","","","B02914",""
"2018-01-30 21:17:57","2018-01-30 21:28:24","","","","B02914",""
"2018-01-30 21:07:46","2018-01-30 21:56:23","","","","B02914",""
"2018-01-30 21:32:06","2018-01-30 21:37:55","","","","B02914",""
"2018-01-30 21:33:20","2018-01-30 21:54:58","219","191","1","B02889",""
"2018-01-30 21:45:30","2018-01-30 22:03:06","181","61","","B02889",""
"2018-01-30 21:24:45","2018-01-30 21:33:58","90","107","","B02889",""
"2018-01-30 21:36:46","2018-01-30 21:56:41","113","112","","B02889",""
"2018-01-30 21:28:53","2018-01-30 21:58:21","132","66","","B02889",""
"2018-01-30 21:24:30","2018-01-30 21:35:33","244","119","","B02889",""
"2018-01-30 21:42:32","2018-01-30 21:55:52","119","32","","B02889",""
"2018-01-30 21:17:25","2018-01-30 21:28:55","150","210","1","B02889",""
"2018-01-30 21:20:14","2018-01-30 21:34:30","150","155","1","B02889",""
"2018-01-30 21:26:12","2018-01-30 21:39:34","210","91","1","B02889",""
"2018-01-30 21:43:05","2018-01-30 22:02:14","91","11","","B02889",""
"2018-01-30 21:50:10","2018-01-30 21:56:11","21","11","","B02884",""
"2018-01-30 21:14:15","2018-01-30 21:17:34","26","26","","B02884",""
"2018-01-30 21:25:19","2018-01-30 21:32:42","26","26","","B02884",""
"2018-01-30 21:43:27","2018-01-30 21:49:46","49","17","","B02884",""
"2018-01-30 21:36:13","2018-01-30 21:49:48","89","21","","B02884",""
"2018-01-30 21:50:25","2018-01-30 21:54:24","21","21","","B02884",""
"2018-01-30 21:05:20","2018-01-30 21:26:14","138","225","","B02884",""
"2018-01-30 21:29:57","2018-01-30 22:15:02","225","229","1","B02884",""
"2018-01-30 21:13:35","2018-01-30 21:55:13","138","265","","B02884",""
"2018-01-30 21:34:52","2018-01-30 21:44:21","239","151","","B02884",""
"2018-01-30 21:44:47","2018-01-30 21:56:24","151","262","","B02884",""
"2018-01-30 21:00:06","2018-01-30 21:27:10","68","179","","B02889",""
"2018-01-30 21:44:54","2018-01-30 21:59:34","92","175","","B02889",""
"2018-01-30 21:03:05","2018-01-30 21:06:12","26","26","","B02889",""
"2018-01-30 21:41:08","2018-01-30 21:45:30","26","26","","B02889",""
"2018-01-30 21:56:17","2018-01-30 22:39:45","26","17","1","B02889",""
"2018-01-30 21:26:56","2018-01-30 21:35:02","92","173","","B02889",""
"2018-01-30 21:39:12","2018-01-30 21:42:08","173","70","","B02889",""
"2018-01-30 21:53:55","2018-01-30 22:42:00","92","265","","B02889",""
"2018-01-30 21:12:23","2018-01-30 22:05:20","232","91","1","B02889",""
"2018-01-30 21:24:58","2018-01-30 21:50:37","209","61","1","B02889",""
"2018-01-30 21:36:08","2018-01-30 21:41:43","150","210","","B02889",""
"2018-01-30 21:22:20","2018-01-30 21:55:34","72","231","","B02884",""
"2018-01-30 21:32:18","2018-01-30 21:55:03","138","234","","B02884",""
"2018-01-30 21:08:18","2018-01-30 21:24:30","130","180","1","B02884",""
"2018-01-30 21:17:04","2018-01-30 21:33:58","216","216","1","B02884",""
"2018-01-30 21:52:09","2018-01-30 22:03:14","160","129","","B02884",""
"2018-01-30 21:34:03","2018-01-30 21:41:26","118","84","","B02884",""
